"NSForest_markers"	"ENSEMBLID"	"TargetCellType"	"clusterSize"	"f_score"	"marker_count"	"data"	"dataCellSet"	"pi_null"	"pi_off"	"prior_prob_off"	"prior_prob_on"	"rate"	"exp"	"ln1"	"ln2"	"targeted"
"FMO3"	"ENSG00000007933"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"hlca"	"Alveolar macrophages"	0.73225627508259	0.226441232957458	0.958697508040049	0.0413024919599514	1.16892561147063e-07	0.962840751681969	0.0371592444092521	3.90877912616411e-09	FALSE
"FMO3"	"ENSG00000007933"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"hlca"	"SM activated stress response"	0.73225627508259	0.226441232957458	0.958697508040049	0.0413024919599514	1.84945633256965e-05	7.82657539590281e-18	0.680451789481588	0.319548210518412	FALSE
"FMO3"	"ENSG00000007933"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"hlca"	"SMG serous (nasal)"	0.73225627508259	0.226441232957458	0.958697508040049	0.0413024919599514	0	0.985491458111481	0.014508540426487	1.46203191816227e-09	FALSE
"FMO3"	"ENSG00000007933"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"hlca"	"Club (nasal)"	0.73225627508259	0.226441232957458	0.958697508040049	0.0413024919599514	0.000126425618705361	3.03025062497357e-172	0.356225352210724	0.643774647789276	FALSE
"FMO3"	"ENSG00000007933"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"hlca"	"Multiciliated (nasal)"	0.73225627508259	0.226441232957458	0.958697508040049	0.0413024919599514	0.000233482616589828	2.12843526232591e-311	0.379385039440487	0.620614960559513	TRUE
"FMO3"	"ENSG00000007933"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"hlca"	"Mesothelium"	0.73225627508259	0.226441232957458	0.958697508040049	0.0413024919599514	1.18844592868136e-06	0.705983810268351	0.29330931892994	0.000706870801708533	FALSE
"FMO3"	"ENSG00000007933"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"hlca"	"Alveolar fibroblasts"	0.73225627508259	0.226441232957458	0.958697508040049	0.0413024919599514	5.91132554038414e-05	6.62115583786609e-75	0.410615008794228	0.589384991205772	FALSE
"FMO3"	"ENSG00000007933"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"hlca"	"SMG duct"	0.73225627508259	0.226441232957458	0.958697508040049	0.0413024919599514	4.96053280612163e-06	4.77871878092724e-05	0.956651900802209	0.0433003120099816	FALSE
"FMO3"	"ENSG00000007933"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"hlca"	"Hillock-like"	0.73225627508259	0.226441232957458	0.958697508040049	0.0413024919599514	7.90820690763882e-06	3.67312556654692e-09	0.893879095125665	0.10612090120121	FALSE
"FMO3"	"ENSG00000007933"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"hlca"	"AT0"	0.73225627508259	0.226441232957458	0.958697508040049	0.0413024919599514	2.63532593906424e-06	0.048427424711643	0.941892621289653	0.00967995399870368	FALSE
"FMO3"	"ENSG00000007933"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"hlca"	"Plasma cells"	0.73225627508259	0.226441232957458	0.958697508040049	0.0413024919599514	2.71843465138631e-07	0.932417207836931	0.0675815333378105	1.25882525882508e-06	FALSE
"FMO3"	"ENSG00000007933"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"hlca"	"pre-TB secretory"	0.73225627508259	0.226441232957458	0.958697508040049	0.0413024919599514	1.38009982393997e-05	1.20192438833338e-16	0.762801681893673	0.237198318106327	FALSE
"FMO3"	"ENSG00000007933"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"hlca"	"CD8 T cells"	0.73225627508259	0.226441232957458	0.958697508040049	0.0413024919599514	1.65387141790383e-06	0.2785560449336	0.719528323911597	0.00191563115480223	FALSE
"FMO3"	"ENSG00000007933"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"hlca"	"Pericytes"	0.73225627508259	0.226441232957458	0.958697508040049	0.0413024919599514	1.25393421861089e-05	1.4350820017825e-12	0.790220503929191	0.209779496069374	FALSE
"FMO3"	"ENSG00000007933"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"hlca"	"B cells"	0.73225627508259	0.226441232957458	0.958697508040049	0.0413024919599514	4.08131114569342e-07	0.906061067239226	0.0939297278385872	9.20492218678184e-06	FALSE
"FMO3"	"ENSG00000007933"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"hlca"	"Goblet (subsegmental)"	0.73225627508259	0.226441232957458	0.958697508040049	0.0413024919599514	3.39440607781691e-06	0.0118988871133462	0.969223033902198	0.018878078984456	FALSE
"FMO3"	"ENSG00000007933"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"hlca"	"Myofibroblasts"	0.73225627508259	0.226441232957458	0.958697508040049	0.0413024919599514	4.56859322415492e-05	6.89250244708716e-40	0.453635665540532	0.546364334459468	FALSE
"FMO3"	"ENSG00000007933"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"hlca"	"AT2 proliferating"	0.73225627508259	0.226441232957458	0.958697508040049	0.0413024919599514	2.51478800127584e-07	0.934208812413875	0.0657890182625716	2.16932355299029e-06	FALSE
"FMO3"	"ENSG00000007933"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"hlca"	"Migratory DCs"	0.73225627508259	0.226441232957458	0.958697508040049	0.0413024919599514	4.46618783178193e-07	0.888289355387373	0.111640057242519	7.05873701083565e-05	FALSE
"FMO3"	"ENSG00000007933"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"hlca"	"Adventitial fibroblasts"	0.73225627508259	0.226441232957458	0.958697508040049	0.0413024919599514	1.07451102709879e-05	6.67101978018276e-13	0.828446215626953	0.17155378437238	FALSE
