"id"	"sym"	"barcode"	"marker"	"cellType"	"data"	"NSForest_markers"	"clusterName"	"clusterSize"	"f_score"	"marker_count"	"binary_genes"	"V1"	"V2"	"prior_prob_off"	"prior_prob_on"	"target"
"ENSG00000007933"	"FMO3"	0.0370512957592046	"Multiciliated (nasal)"	"Alveolar macrophages"	"hlca"	"FMO3"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"['FMO3', 'MRLN', 'MPV17L', 'DIAPH2', 'OMG', 'RP11-356K23.1', 'PROM1', 'ARL3', 'MS4A8', 'LYPD2']"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	FALSE
"ENSG00000007933"	"FMO3"	0.0977155936956804	"Multiciliated (nasal)"	"T cells proliferating"	"hlca"	"FMO3"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"['FMO3', 'MRLN', 'MPV17L', 'DIAPH2', 'OMG', 'RP11-356K23.1', 'PROM1', 'ARL3', 'MS4A8', 'LYPD2']"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	FALSE
"ENSG00000007933"	"FMO3"	0.117659764689267	"Multiciliated (nasal)"	"Plasmacytoid DCs"	"hlca"	"FMO3"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"['FMO3', 'MRLN', 'MPV17L', 'DIAPH2', 'OMG', 'RP11-356K23.1', 'PROM1', 'ARL3', 'MS4A8', 'LYPD2']"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	FALSE
"ENSG00000007933"	"FMO3"	0.0575512060564684	"Multiciliated (nasal)"	"NK cells"	"hlca"	"FMO3"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"['FMO3', 'MRLN', 'MPV17L', 'DIAPH2', 'OMG', 'RP11-356K23.1', 'PROM1', 'ARL3', 'MS4A8', 'LYPD2']"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	FALSE
"ENSG00000007933"	"FMO3"	0.153221210386469	"Multiciliated (nasal)"	"Lymphatic EC mature"	"hlca"	"FMO3"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"['FMO3', 'MRLN', 'MPV17L', 'DIAPH2', 'OMG', 'RP11-356K23.1', 'PROM1', 'ARL3', 'MS4A8', 'LYPD2']"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	FALSE
"ENSG00000007933"	"FMO3"	0.999999999076245	"Multiciliated (nasal)"	"Tuft"	"hlca"	"FMO3"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"['FMO3', 'MRLN', 'MPV17L', 'DIAPH2', 'OMG', 'RP11-356K23.1', 'PROM1', 'ARL3', 'MS4A8', 'LYPD2']"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	FALSE
"ENSG00000007933"	"FMO3"	1	"Multiciliated (nasal)"	"Deuterosomal"	"hlca"	"FMO3"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"['FMO3', 'MRLN', 'MPV17L', 'DIAPH2', 'OMG', 'RP11-356K23.1', 'PROM1', 'ARL3', 'MS4A8', 'LYPD2']"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	FALSE
"ENSG00000007933"	"FMO3"	0.999999996717754	"Multiciliated (nasal)"	"Smooth muscle FAM83D+"	"hlca"	"FMO3"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"['FMO3', 'MRLN', 'MPV17L', 'DIAPH2', 'OMG', 'RP11-356K23.1', 'PROM1', 'ARL3', 'MS4A8', 'LYPD2']"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	FALSE
"ENSG00000007933"	"FMO3"	0.0564623552586736	"Multiciliated (nasal)"	"Non-classical monocytes"	"hlca"	"FMO3"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"['FMO3', 'MRLN', 'MPV17L', 'DIAPH2', 'OMG', 'RP11-356K23.1', 'PROM1', 'ARL3', 'MS4A8', 'LYPD2']"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	FALSE
"ENSG00000007933"	"FMO3"	0.0311429562891224	"Multiciliated (nasal)"	"Alveolar Mph MT-positive"	"hlca"	"FMO3"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"['FMO3', 'MRLN', 'MPV17L', 'DIAPH2', 'OMG', 'RP11-356K23.1', 'PROM1', 'ARL3', 'MS4A8', 'LYPD2']"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	FALSE
"ENSG00000007933"	"FMO3"	0.999475773260776	"Multiciliated (nasal)"	"Ionocyte"	"hlca"	"FMO3"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"['FMO3', 'MRLN', 'MPV17L', 'DIAPH2', 'OMG', 'RP11-356K23.1', 'PROM1', 'ARL3', 'MS4A8', 'LYPD2']"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	FALSE
"ENSG00000007933"	"FMO3"	0.0145379364361282	"Multiciliated (nasal)"	"SMG serous (nasal)"	"hlca"	"FMO3"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"['FMO3', 'MRLN', 'MPV17L', 'DIAPH2', 'OMG', 'RP11-356K23.1', 'PROM1', 'ARL3', 'MS4A8', 'LYPD2']"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	FALSE
"ENSG00000007933"	"FMO3"	1	"Multiciliated (nasal)"	"Club (non-nasal)"	"hlca"	"FMO3"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"['FMO3', 'MRLN', 'MPV17L', 'DIAPH2', 'OMG', 'RP11-356K23.1', 'PROM1', 'ARL3', 'MS4A8', 'LYPD2']"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	FALSE
"ENSG00000007933"	"FMO3"	0.291124639986142	"Multiciliated (nasal)"	"Mesothelium"	"hlca"	"FMO3"	"Multiciliated (nasal)"	4869	0.587560540402753	3	"['FMO3', 'MRLN', 'MPV17L', 'DIAPH2', 'OMG', 'RP11-356K23.1', 'PROM1', 'ARL3', 'MS4A8', 'LYPD2']"	0.793107313589448	0.200626861349332	0.99373417493878	0.00626582506121975	FALSE
